round,number,driver,raw_status,started,on_road_finish,note,source
7,18,Lance StrollSTR,+79.556s,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,27,Nico HulkenbergHUL,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,20,Kevin MagnussenMAG,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,3,Daniel RicciardoRIC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,31,Esteban OconOCO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,10,Pierre GaslyGAS,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,2,Logan SargeantSAR,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,14,Fernando AlonsoALO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
7,23,Alexander AlbonALB,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
8,16,Charles LeclercLEC,2:23:15.554,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,81,Oscar PiastriPIA,+7.152s,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,55,Carlos SainzSAI,+7.585s,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,4,Lando NorrisNOR,+8.650s,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,63,George RussellRUS,+13.309s,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,1,Max VerstappenVER,+13.853s,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,44,Lewis HamiltonHAM,+14.908s,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
8,23,Alexander AlbonALB,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
